SEQ_ID	HMT_ID	Genus	Species	Strain	Contigs	Combined_Size	Habitat	Sequence_Source
SEQF1039	681	Rothia	mucilaginosa	ATCC 25296	25	2255158	Oral	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/175/615/GCA_000175615.1_ASM17561v1
SEQF1041	824	Bacillus	anthracis	Sterne	1	5228663	Unassigned	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/008/165/GCA_000008165.1_ASM816v1
SEQF1045	95	Shuttleworthia	satelles	DSM 14600	5	2169477	Oral	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/160/115/GCA_000160115.1_ASM16011v1
SEQF1050	825	Listeria	monocytogenes	1/2a F6854	133	2950285	Unassigned	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/167/135/GCA_000167135.1_ASM16713v1
SEQF1051	825	Listeria	monocytogenes	4b F2365	1	2905187	Unassigned	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/008/285/GCA_000008285.1_ASM828v1
SEQF1052	825	Listeria	monocytogenes	4b H7858	181	2972254	Unassigned	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/167/155/GCA_000167155.1_ASM16715v1
SEQF1053	825	Listeria	monocytogenes	08-5578	2	3109678	Unassigned	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/093/125/GCA_000093125.2_ASM9312v2
SEQF1054	827	Yersinia	pestis	Antiqua JGI	4	4879836	Unassigned	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/013/825/GCA_000013825.1_ASM1382v1
SEQF1055	827	Yersinia	pestis	CO92	4	4829855	Unassigned	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/009/065/GCA_000009065.1_ASM906v1
SEQF1056	827	Yersinia	pestis	KIM10+	2	4701745	Unassigned	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/006/645/GCA_000006645.1_ASM664v1
SEQF1057	827	Yersinia	pestis	Nepal516	3	4646286	Unassigned	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/013/805/GCA_000013805.1_ASM1380v1
SEQF1059	734	Streptococcus	pneumoniae	G54	1	2078953	Nasal	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/019/825/GCA_000019825.1_ASM1982v1
SEQF1061	584	Treponema	denticola	ATCC 35405	1	2843201	Oral	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/008/185/GCA_000008185.1_ASM818v1
SEQF1062	805	Treponema	pallidum	str. Nichols	1	1138011	Unassigned	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/008/605/GCA_000008605.1_ASM860v1
SEQF1064	619	Porphyromonas	gingivalis	W83	1	2343476	Oral	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/007/585/GCA_000007585.1_ASM758v1
SEQF1065	643	Prevotella	intermedia	17	2	2699437	Oral	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/261/025/GCA_000261025.1_ASM26102v1
SEQF1066	622	Streptococcus	gordonii	Challis CH1	1	2196662	Oral	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/017/005/GCA_000017005.1_ASM1700v1
SEQF1067	677	Streptococcus	mitis	B6	1	2146611	Nasal,Oral	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/027/165/GCA_000027165.1_ASM2716v1
SEQF1069	686	Streptococcus	mutans	UA159	1	2032925	Oral	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/007/465/GCA_000007465.2_ASM746v2
SEQF1070	758	Streptococcus	sanguinis	SK36	1	2388435	Oral	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/014/205/GCA_000014205.1_ASM1420v1
SEQF1072	613	Tannerella	forsythia	92A2 not ATCC 43037	1	3405521	Oral	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/238/215/GCA_000238215.1_ASM23821v1
SEQF1073	529	Lactobacillus	acidophilus	NCFM	1	1993560	Unassigned	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/011/985/GCA_000011985.1_ASM1198v1
SEQF1074	531	Aggregatibacter	actinomycetemcomitans	HK1651	1	2105503	Oral	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/604/045/GCA_000604045.1_ASM60404v1
SEQF1075	202	Fusobacterium	nucleatum subsp. polymorphum	ATCC 10953	2	2441632	Oral	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/153/625/GCA_000153625.1_ASM15362v1
SEQF1076	200	Fusobacterium	nucleatum subsp. vincentii	ATCC 49256	302	2118259	Oral	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/182/945/GCA_000182945.1_ASM18294v1
SEQF1078	698	Fusobacterium	nucleatum subsp. nucleatum	ATCC 25586	1	2174500	Oral	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/007/325/GCA_000007325.1_ASM732v1
SEQF1080	604	Enterococcus	faecalis	V583	4	3359974	Unassigned	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/007/785/GCA_000007785.1_ASM778v1
SEQF1082	827	Yersinia	pestis	biovar Microtus str. 91001	5	4803217	Unassigned	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/007/885/GCA_000007885.1_ASM788v1
SEQF1083	738	Anaerococcus	prevotii	DSM 20548	2	1998633	Unassigned	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/024/105/GCA_000024105.1_ASM2410v1
SEQF1084	723	Atopobium	parvulum	DSM 20469	1	1543805	Oral	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/024/225/GCA_000024225.1_ASM2422v1
SEQF1086	828	Bordetella	pertussis	Tohama I	1	4086189	Unassigned	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/195/715/GCA_000195715.1_ASM19571v1
SEQF1087	485	Agrobacterium	tumefaciens	biovar II K84	5	7273300	Unassigned	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/016/265/GCA_000016265.1_ASM1626v1
SEQF1092	684	Mitsuokella	multacida	DSM 20544	6	2577056	Unassigned	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/155/955/GCA_000155955.1_ASM15595v1
SEQF1095	818	Lactobacillus	reuteri clade 818	F275	1	1999618	Unassigned	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/016/825/GCA_000016825.1_ASM1682v1
SEQF1096	822	Mycobacterium	tuberculosis	F11 ExPEC	1	4424435	Unassigned	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/016/925/GCA_000016925.1_ASM1692v1
SEQF1099	827	Yersinia	pestis	Pestoides F	3	4725862	Unassigned	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/016/445/GCA_000016445.1_ASM1644v1
SEQF1100	669	Neisseria	meningitidis	053442	1	2153416	Oral	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/014/105/GCA_000014105.1_ASM1410v1
SEQF1102	833	Moraxella	catarrhalis	RH4	1	1863286	Nasal	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/092/265/GCA_000092265.1_ASM9226v1
SEQF1103	118	Dialister	invisus	DSM 15470	1	1895960	Oral	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/160/055/GCA_000160055.1_ASM16005v1
SEQF1104	839	Lactobacillus	jensenii	JV-V16	1	1604632	Vaginal	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/159/335/GCA_000159335.1_ASM15933v1
SEQF1109	621	Neisseria	gonorrhoeae	NCCP11945	2	2236178	Unassigned	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/020/105/GCA_000020105.1_ASM2010v1
SEQF1111	641	Haemophilus	influenzae	6P18H1	28	1912236	Nasal	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/173/335/GCA_000173335.1_ASM17333v1
SEQF1112	641	Haemophilus	influenzae	7P49H1	19	1827667	Nasal	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/173/315/GCA_000173315.1_ASM17331v1
SEQF1116	734	Streptococcus	pneumoniae	CGSP14	1	2209198	Nasal	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/019/985/GCA_000019985.1_ASM1998v1
SEQF1119	812	Helicobacter	pylori	Shi470	1	1608548	Unassigned	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/020/245/GCA_000020245.1_ASM2024v1
SEQF1120	818	Lactobacillus	reuteri clade 818	100-23	2	2305557	Unassigned	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/168/255/GCA_000168255.1_ASM16825v1
SEQF1121	818	Lactobacillus	reuteri clade 818	JCM 1112	1	2039414	Unassigned	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/010/005/GCA_000010005.1_ASM1000v1
SEQF1129	822	Mycobacterium	tuberculosis	H37Ra	1	4419977	Unassigned	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/016/145/GCA_000016145.1_ASM1614v1
SEQF1130	822	Mycobacterium	tuberculosis	KZN 1435	1	4398250	Unassigned	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/023/625/GCA_000023625.1_ASM2362v1
SEQF1132	822	Mycobacterium	tuberculosis	KZN 605	1	4399120	Unassigned	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/154/605/GCA_000154605.2_ASM15460v2
SEQF1137	574	Escherichia	coli	O157:H7 str. TW14588	2	5671197	Unassigned	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/155/125/GCA_000155125.1_ASM15512v1
SEQF1139	824	Bacillus	anthracis	Tsiankovskii-I	56	5504728	Unassigned	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/181/675/GCA_000181675.2_ASM18167v2
SEQF1140	824	Bacillus	anthracis	str. A0174	60	5291908	Unassigned	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/182/055/GCA_000182055.1_ASM18205v1
SEQF1141	824	Bacillus	anthracis	str. A0193	60	5392880	Unassigned	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/181/915/GCA_000181915.1_ASM18191v1
SEQF1142	469	Prevotella	melaninogenica	ATCC 25845	2	3168282	Oral	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/144/405/GCA_000144405.1_ASM14440v1
SEQF1143	824	Bacillus	anthracis	str. A0389	68	5420403	Unassigned	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/219/895/GCA_000219895.1_ASM21989v1
SEQF1150	824	Bacillus	anthracis	str. A0442	46	5374836	Unassigned	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/181/935/GCA_000181935.1_ASM18193v1
SEQF1151	824	Bacillus	anthracis	str. A0465	57	5407149	Unassigned	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/181/995/GCA_000181995.1_ASM18199v1
SEQF1153	824	Bacillus	anthracis	str. A0488	63	5392168	Unassigned	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/181/835/GCA_000181835.1_ASM18183v1
SEQF1159	160	Veillonella	dispar	ATCC 17748	3	2118767	Oral	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/160/015/GCA_000160015.1_ASM16001v1
SEQF1160	201	Fusobacterium	periodonticum	ATCC 33693	53	2615003	Oral	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/160/475/GCA_000160475.1_ASM16047v1
SEQF1161	554	Acinetobacter	baumannii	SDF	4	3477996	Unassigned	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/069/205/GCA_000069205.1_ASM6920v1
SEQF1164	554	Acinetobacter	baumannii	AYE	5	4048735	Unassigned	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/069/245/GCA_000069245.1_ASM6924v1
SEQF1165	476	Neisseria	subflava	NJ9703	63	2292986	Oral	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/173/955/GCA_000173955.1_ASM17395v1
SEQF1166	598	Neisseria	elongata	ATCC 29315	153	2275949	Oral	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/176/755/GCA_000176755.2_ASM17675v1
SEQF1167	485	Agrobacterium	tumefaciens	str. C58	4	5674258	Unassigned	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/092/025/GCA_000092025.1_ASM9202v1
SEQF1170	45	Bacillus	clausii	KSM-K16	1	4303871	Unassigned	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/009/825/GCA_000009825.1_ASM982v1
SEQF1173	468	Bacillus	subtilis	BSn5	1	4093599	Unassigned	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/186/745/GCA_000186745.1_ASM18674v1
SEQF1175	682	Neisseria	mucosa	ATCC 25996	67	2578748	Oral	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/173/875/GCA_000173875.1_ASM17387v1
SEQF1177	575	Campylobacter	concisus	strain 13826	3	2099413	Oral	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/017/725/GCA_000017725.2_ASM1772v2
SEQF1178	580	Campylobacter	curvus	525.92	1	1971270	Oral	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/017/465/GCA_000017465.2_ASM1746v2
SEQF1179	733	Chlamydophila	pneumoniae	AR39	2	1234385	Unassigned	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/091/085/GCA_000091085.2_ASM9108v2
SEQF1180	733	Chlamydophila	pneumoniae	CWL029	1	1230230	Unassigned	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/008/745/GCA_000008745.1_ASM874v1
SEQF1181	733	Chlamydophila	pneumoniae	J138	1	1226565	Unassigned	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/011/165/GCA_000011165.1_ASM1116v1
SEQF1182	733	Chlamydophila	pneumoniae	TW-183	1	1225935	Unassigned	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/007/205/GCA_000007205.1_ASM720v1
SEQF1183	737	Neisseria	polysaccharea	ATCC 43768	139	2030958	Unassigned	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/176/735/GCA_000176735.1_ASM17673v1
SEQF1184	591	Corynebacterium	diphtheriae	NCTC 13129	1	2488635	Unassigned	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/195/815/GCA_000195815.1_ASM19581v1
SEQF1185	753	Cronobacter	sakazakii	ATCC BAA-894	3	4530777	Unassigned	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/017/665/GCA_000017665.1_ASM1766v1
SEQF1186	574	Escherichia	coli	101-1	91	4979767	Unassigned	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/168/095/GCA_000168095.1_ASM16809v1
SEQF1187	811	Arcanobacterium	haemolyticum	DSM 20595	1	1986154	Unassigned	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/092/365/GCA_000092365.1_ASM9236v1
SEQF1188	574	Escherichia	coli	53638	4	5371790	Unassigned	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/167/915/GCA_000167915.2_ASM16791v2
SEQF1189	574	Escherichia	coli	55989	1	5154862	Unassigned	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/026/245/GCA_000026245.1_ASM2624v1
SEQF1191	574	Escherichia	coli	B str. REL606	1	4629812	Unassigned	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/017/985/GCA_000017985.1_ASM1798v1
SEQF1192	574	Escherichia	coli	B171 O111:NM	265	5654428	Unassigned	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/167/895/GCA_000167895.3_ASM16789v3
SEQF1193	574	Escherichia	coli	B7A O148:H28:CS6:LT+:ST+	289	5300242	Unassigned	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/167/815/GCA_000167815.1_ASM16781v1
SEQF1194	574	Escherichia	coli	CFT073	1	5231428	Unassigned	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/007/445/GCA_000007445.1_ASM744v1
SEQF1195	610	Neisseria	flavescens	NRL30031/H210	117	2205588	Oral	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/173/935/GCA_000173935.1_ASM17393v1
SEQF1196	574	Escherichia	coli	E110019 O111:H9	137	5376211	Unassigned	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/167/875/GCA_000167875.1_ASM16787v1
SEQF1197	574	Escherichia	coli	E22	127	5528238	Unassigned	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/167/855/GCA_000167855.1_ASM16785v1
SEQF1198	574	Escherichia	coli	E24377A	7	5249288	Unassigned	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/017/745/GCA_000017745.1_ASM1774v1
SEQF1199	574	Escherichia	coli	042	2	5355323	Unassigned	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/027/125/GCA_000027125.1_ASM2712v1
SEQF1200	574	Escherichia	coli	ED1a O81	1	5209548	Unassigned	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/026/305/GCA_000026305.1_ASM2630v1
SEQF1203	574	Escherichia	coli	F11	119	5215961	Unassigned	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/167/835/GCA_000167835.1_ASM16783v1
SEQF1205	574	Escherichia	coli	HS	1	4643538	Unassigned	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/017/765/GCA_000017765.1_ASM1776v1
SEQF1206	574	Escherichia	coli	IAI1 O8	1	4700560	Unassigned	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/026/265/GCA_000026265.1_ASM2626v1
SEQF1207	574	Escherichia	coli	IAI39 O7:K1	1	5132068	Unassigned	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/026/345/GCA_000026345.1_ASM2634v1
SEQF1208	574	Escherichia	coli	str. K-12 substr. MG1655	1	4641652	Unassigned	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/005/845/GCA_000005845.2_ASM584v2
SEQF1213	574	Escherichia	coli	O157:H7 EDL933	2	5620522	Unassigned	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/006/665/GCA_000006665.1_ASM666v1
SEQF1217	574	Escherichia	coli	S88 O45:K1	2	5166121	Unassigned	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/026/285/GCA_000026285.2_ASM2628v2
SEQF1218	574	Escherichia	coli	UMN026 O17:K52:H18	3	5358200	Unassigned	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/026/325/GCA_000026325.2_ASM2632v2
SEQF1219	574	Escherichia	coli	UTI89	2	5179971	Unassigned	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/013/265/GCA_000013265.1_ASM1326v1
SEQF1220	574	Escherichia	coli	K12 W3110	1	4646332	Unassigned	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/010/245/GCA_000010245.1_ASM1024v1
SEQF1221	545	Aggregatibacter	aphrophilus	NJ8700	1	2313035	Oral	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/022/985/GCA_000022985.1_ASM2298v1
SEQF1223	641	Haemophilus	influenzae	22.1-21	18	1888582	Nasal	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/169/735/GCA_000169735.1_ASM16973v1
SEQF1224	641	Haemophilus	influenzae	 22.4-21	44	1851097	Nasal	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/169/855/GCA_000169855.1_ASM16985v1
SEQF1226	641	Haemophilus	influenzae	3655	23	1878368	Nasal	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/169/775/GCA_000169775.1_ASM16977v1
SEQF1227	641	Haemophilus	influenzae	86-028NP	1	1914490	Nasal	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/012/185/GCA_000012185.1_ASM1218v1
SEQF1228	641	Haemophilus	influenzae	PittAA	40	1876892	Nasal	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/169/795/GCA_000169795.1_ASM16979v1
SEQF1231	641	Haemophilus	influenzae	PittEE	1	1813033	Nasal	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/016/465/GCA_000016465.1_ASM1646v1
SEQF1232	641	Haemophilus	influenzae	PittGG	1	1887192	Nasal	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/016/485/GCA_000016485.1_ASM1648v1
SEQF1233	641	Haemophilus	influenzae	PittHH	59	1837347	Nasal	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/169/815/GCA_000169815.1_ASM16981v1
SEQF1234	641	Haemophilus	influenzae	PittII	25	1954291	Nasal	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/169/835/GCA_000169835.1_ASM16983v1
SEQF1235	641	Haemophilus	influenzae	R2846	1	1819370	Nasal	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/165/575/GCA_000165575.1_ASM16557v1
SEQF1236	641	Haemophilus	influenzae	R2866	1	1932306	Nasal	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/165/525/GCA_000165525.1_ASM16552v1
SEQF1237	641	Haemophilus	influenzae	R3021	46	1875614	Nasal	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/169/755/GCA_000169755.1_ASM16975v1
SEQF1238	641	Haemophilus	influenzae	10810	1	1981535	Nasal	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/210/875/GCA_000210875.1_ASM21087v1
SEQF1239	718	Haemophilus	parainfluenzae	T3T1	1	2086875	Nasal,Oral	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/210/895/GCA_000210895.1_ASM21089v1
SEQF1240	812	Helicobacter	pylori	26695	1	1667867	Unassigned	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/008/525/GCA_000008525.1_ASM852v1
SEQF1243	812	Helicobacter	pylori	52	1	1568826	Unassigned	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/023/805/GCA_000023805.1_ASM2380v1
SEQF1244	812	Helicobacter	pylori	HPAG1	2	1605736	Unassigned	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/013/245/GCA_000013245.1_ASM1324v1
SEQF1245	812	Helicobacter	pylori	J99	1	1643831	Unassigned	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/008/785/GCA_000008785.1_ASM878v1
SEQF1246	568	Lactobacillus	casei	BL23	1	3079196	Unassigned	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/026/485/GCA_000026485.1_ASM2648v1
SEQF1247	574	Escherichia	coli	O157:H7 str. TW14359	2	5622737	Unassigned	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/022/225/GCA_000022225.1_ASM2222v1
SEQF1249	731	Klebsiella	pneumoniae	342	3	5920257	Unassigned	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/019/565/GCA_000019565.1_ASM1956v1
SEQF1250	731	Klebsiella	pneumoniae	MGH 78578	6	5694894	Unassigned	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/016/305/GCA_000016305.1_ASM1630v1
